OBJECTID,pointid,grid_code,PR_mean,ETP_mean,Balance_me,stress_probability
3701,3701,1.0000000,161.9965973,838.8268433,-676.8302612,1.0000000
3702,3702,1.0000000,170.3862762,833.4145508,-663.0282593,1.0000000
3703,3703,1.0000000,168.8091583,845.1804199,-676.3712769,1.0000000
3704,3704,1.0000000,159.8898621,855.7877197,-695.8978882,1.0000000
3705,3705,1.0000000,185.8541412,809.5494385,-623.6953125,1.0000000
3706,3706,1.0000000,193.7364044,792.1130981,-598.3766479,1.0000000
3707,3707,1.0000000,212.2225342,766.1636963,-553.9411621,1.0000000
3708,3708,1.0000000,193.7574463,790.0236816,-596.2662354,1.0000000
3709,3709,1.0000000,136.7712097,899.0303955,-762.2591553,1.0000000
3710,3710,1.0000000,102.9718170,1034.7275391,-931.7557983,1.0000000
3711,3711,1.0000000,96.9449081,1094.8920898,-997.9471436,1.0000000
3712,3712,1.0000000,100.8617630,1085.3010254,-984.4392700,1.0000000
3713,3713,1.0000000,111.9131088,1024.4195557,-912.5064697,1.0000000
3714,3714,1.0000000,95.5578537,1078.0063477,-982.4484863,1.0000000
3715,3715,1.0000000,76.9017944,1225.6197510,-1148.7180176,1.0000000
3716,3716,1.0000000,71.3235855,1295.1973877,-1223.8737793,1.0000000
3717,3717,1.0000000,64.6692047,1334.5970459,-1269.9278564,1.0000000
3718,3718,1.0000000,56.8759270,1372.9636230,-1316.0876465,1.0000000
3719,3719,1.0000000,103.4640045,1506.6798096,-1403.2158203,1.0000000
3720,3720,1.0000000,107.2983704,1584.9160156,-1477.6175537,1.0000000
3721,3721,1.0000000,113.1072617,1645.5865479,-1532.4792480,1.0000000
3722,3722,1.0000000,117.5580368,1672.3286133,-1554.7706299,1.0000000
3723,3723,1.0000000,124.2199097,1677.0076904,-1552.7877197,1.0000000
3724,3724,1.0000000,129.2711487,1663.3848877,-1534.1137695,1.0000000
3725,3725,1.0000000,134.7943573,1655.0240479,-1520.2297363,1.0000000
3726,3726,1.0000000,141.6873474,1670.5439453,-1528.8566895,1.0000000
3727,3727,1.0000000,148.4174347,1708.0384521,-1559.6209717,1.0000000
3728,3728,1.0000000,154.5906677,1720.0625000,-1565.4719238,1.0000000
3729,3729,1.0000000,160.3785553,1700.0861816,-1539.7076416,1.0000000
3730,3730,1.0000000,167.1451416,1675.7243652,-1508.5792236,1.0000000
3731,3731,1.0000000,175.3057861,1622.2235107,-1446.9177246,1.0000000
3732,3732,1.0000000,183.8222351,1582.9064941,-1399.0842285,1.0000000
3733,3733,1.0000000,191.9135742,1639.7193604,-1447.8057861,1.0000000
3734,3734,1.0000000,199.6843719,1671.5811768,-1471.8968506,1.0000000
3735,3735,1.0000000,211.1039886,1660.4239502,-1449.3199463,1.0000000
3736,3736,1.0000000,223.5596771,1625.8424072,-1402.2827148,1.0000000
3737,3737,1.0000000,233.8771210,1595.0468750,-1361.1696777,1.0000000
3738,3738,1.0000000,241.4113922,1577.4478760,-1336.0364990,1.0000000
3739,3739,1.0000000,247.7496185,1557.9299316,-1310.1802979,1.0000000
